Area,Age-Group,Mobility-Years,Total-in-migrants,Intraprovincial-in-migrants,Interprovincial-in-migrants,External-in-migrants,Total-out-migrants,Intraprovincial-out-migrants,Interprovincial-out-migrants
Manitoba,25 to 29,5,20835,9490,5230,6120,16410,9485,6920
Winnipeg,25 to 29,5,9815,2170,3040,4610,7465,2380,5090
Steinbach,25 to 29,5,410,310,15,85,415,350,65
Portage la Prairie,25 to 29,5,195,135,25,40,180,130,45
Brandon,25 to 29,5,1715,570,640,505,1715,1185,535
Thompson,25 to 29,5,540,315,130,100,195,155,40
Saskatchewan,25 to 29,5,26015,13095,8740,4170,19810,13095,6720
Regina,25 to 29,5,4505,1735,1420,1355,3115,1665,1445
Yorkton,25 to 29,5,490,270,165,60,460,355,105
Moose Jaw,25 to 29,5,1040,490,470,80,670,445,230
Swift Current,25 to 29,5,405,255,80,75,425,160,265
Saskatoon,25 to 29,5,6345,1585,2985,1775,6180,3200,2980
North Battleford,25 to 29,5,525,225,220,75,265,215,50
Prince Albert,25 to 29,5,1055,705,215,135,620,460,160
Estevan,25 to 29,5,485,120,320,45,205,135,65
Alberta,25 to 29,5,109555,47495,39785,22270,75755,47495,28255
Medicine Hat,25 to 29,5,1630,750,605,280,1405,680,720
Brooks,25 to 29,5,640,125,170,345,675,385,290
Lethbridge,25 to 29,5,2545,1335,690,525,3595,2625,970
Okotoks,25 to 29,5,870,675,125,70,580,455,120
High River,25 to 29,5,440,305,70,65,250,210,35
Calgary,25 to 29,5,32945,7525,15875,9555,15670,5815,9860
Strathmore,25 to 29,5,390,245,105,40,285,205,80
Canmore,25 to 29,5,460,110,265,80,555,245,310
Red Deer,25 to 29,5,3150,2010,840,295,3675,2510,1165
Sylvan Lake,25 to 29,5,725,425,265,35,370,295,75
Lacombe,25 to 29,5,390,310,55,20,380,285,95
Camrose,25 to 29,5,465,380,25,60,640,545,95
Edmonton,25 to 29,5,26505,7085,11505,7915,17075,8200,8875
Lloydminster,25 to 29,5,1095,410,550,135,860,475,385
Lloydminster (Saskatchewan part),25 to 29,5,550,160,325,70,360,195,165
Lloydminster (Alberta part),25 to 29,5,575,255,250,70,525,280,245
Cold Lake,25 to 29,5,795,275,470,50,610,400,205
Grande Prairie,25 to 29,5,2935,1365,1285,280,2360,1285,1080
Wood Buffalo,25 to 29,5,4780,1070,3120,585,1795,840,955
Wetaskiwin,25 to 29,5,340,180,115,50,295,255,40
British Columbia ,25 to 29,5,112715,57720,27975,27025,78395,57720,20675
Cranbrook,25 to 29,5,335,100,185,55,345,185,165
Penticton,25 to 29,5,780,450,260,75,600,455,145
Kelowna,25 to 29,5,3530,1560,1585,385,3090,1910,1180
Vernon,25 to 29,5,930,520,305,110,805,545,260
Salmon Arm,25 to 29,5,320,180,125,0,400,250,150
Kamloops,25 to 29,5,2060,1175,645,245,2170,1335,840
Chilliwack,25 to 29,5,1550,1165,330,65,980,760,215
Abbotsford - Mission,25 to 29,5,3210,1760,470,980,2625,2025,605
Vancouver,25 to 29,5,44615,8490,14215,21915,16035,6950,9085
Squamish,25 to 29,5,600,250,245,105,355,260,95
Victoria,25 to 29,5,7665,2945,3405,1315,6970,4150,2825
Duncan,25 to 29,5,455,245,165,50,755,630,125
Nanaimo,25 to 29,5,1690,1005,475,215,1710,1435,280
Parksville,25 to 29,5,225,160,35,0,290,210,80
Port Alberni,25 to 29,5,260,160,95,0,295,220,70
Courtenay,25 to 29,5,1095,560,460,80,695,445,250
Campbell River,25 to 29,5,615,430,170,20,500,420,80
Powell River,25 to 29,5,190,140,30,15,180,130,55
Williams Lake,25 to 29,5,330,220,75,35,310,190,125
Quesnel,25 to 29,5,305,190,100,0,310,220,85
Prince Rupert,25 to 29,5,205,135,50,20,125,85,35
Terrace,25 to 29,5,310,185,100,25,170,125,40
Prince George,25 to 29,5,1640,965,470,200,1715,1105,610
Dawson Creek,25 to 29,5,445,265,145,35,310,185,125
Fort St. John,25 to 29,5,1095,540,480,70,800,355,445
Yukon,25 to 29,5,975,95,690,190,545,95,445
Whitehorse,25 to 29,5,700,40,505,155,335,40,305
Northwest Territories,25 to 29,5,1380,215,1040,120,875,220,660
Yellowknife,25 to 29,5,845,80,660,105,510,45,460
Nunavut,25 to 29,5,625,180,425,25,335,180,160
Canada,30 to 34,5,693340,412045,109030,172265,521070,412045,109030
Newfoundland and Labrador,30 to 34,5,9615,5125,3945,540,7700,5125,2570
St. Johns,30 to 34,5,3020,610,2025,380,2145,705,1435
Bay Roberts,30 to 34,5,220,105,105,0,90,60,35
Grand Falls-Windsor,30 to 34,5,300,135,155,15,175,115,60
Corner Brook,30 to 34,5,430,210,225,0,355,250,100
Prince Edward Island,30 to 34,5,2460,1110,1095,255,2080,1110,975
Charlottetown,30 to 34,5,1060,195,640,220,775,180,595
Summerside,30 to 34,5,205,55,145,0,205,130,75
Nova Scotia,30 to 34,5,13725,5275,6315,2140,12345,5275,7075
Halifax,30 to 34,5,6470,1195,3785,1490,6580,1725,4860
Kentville,30 to 34,5,540,390,125,25,295,195,100
Truro,30 to 34,5,530,305,185,45,535,280,255
New Glasgow,30 to 34,5,480,245,210,30,365,200,165
Cape Breton,30 to 34,5,830,310,395,120,675,300,375
New Brunswick,30 to 34,5,11870,7095,3925,860,11345,7095,4260
Moncton,30 to 34,5,1970,855,880,235,1725,925,800
Saint John,30 to 34,5,1215,365,705,150,850,430,415
Fredericton,30 to 34,5,1485,615,630,245,1895,550,1340
Bathurst,30 to 34,5,340,215,115,0,280,175,105
Miramichi,30 to 34,5,175,70,75,35,235,160,75
Campbellton,30 to 34,5,150,110,40,0,175,120,55
Campbellton (New Brunswick part),30 to 34,5,120,95,25,0,140,110,25
Campbellton (Quebec part),30 to 34,5,35,15,20,0,40,0,30
Edmundston,30 to 34,5,170,90,75,0,175,90,85
Quebec,30 to 34,5,170330,121595,8665,40065,133650,121595,12060
Matane,30 to 34,5,215,200,0,0,165,160,0
Rimouski,30 to 34,5,625,590,0,30,830,790,40
Riviere-du-Loup,30 to 34,5,345,310,0,20,370,370,0
Baie-Comeau,30 to 34,5,275,270,0,0,260,255,0
Saguenay,30 to 34,5,1735,1500,150,85,1315,1180,135
Alma,30 to 34,5,320,295,15,0,440,415,25
Dolbeau-Mistassini,30 to 34,5,160,145,0,0,175,175,0
Sept-Iles,30 to 34,5,340,295,0,30,120,115,0
Quebec,30 to 34,5,8640,5845,630,2165,8290,7200,1090
Saint-Georges,30 to 34,5,495,465,15,20,385,360,30
Thetford Mines,30 to 34,5,245,230,0,0,220,195,0
Sherbrooke,30 to 34,5,2505,1790,145,570,3110,2915,200
Cowansville,30 to 34,5,185,175,0,0,230,210,0
Victoriaville,30 to 34,5,615,530,25,60,695,670,25
Trois-Rivieres,30 to 34,5,1945,1645,35,270,2295,2175,120
Shawinigan,30 to 34,5,690,650,15,25,625,615,15
Drummondville,30 to 34,5,1210,1050,45,115,995,980,20
Granby,30 to 34,5,1110,1000,0,105,1005,970,35
Saint-Hyacinthe,30 to 34,5,1090,910,0,165,1115,1090,30
Sorel-Tracy,30 to 34,5,650,635,0,0,430,420,0
Joliette,30 to 34,5,765,695,0,65,1020,1015,0
Saint-Jean-sur-Richelieu,30 to 34,5,1860,1645,135,70,1335,1300,35
Montreal,30 to 34,5,50195,11245,4620,34330,25785,17550,8230
Salaberry-de-Valleyfield,30 to 34,5,545,500,0,25,580,540,0
Lachute,30 to 34,5,215,195,0,0,255,250,0
Val-dOr,30 to 34,5,380,320,25,40,270,255,0
Amos,30 to 34,5,245,230,0,0,220,220,0
Rouyn-Noranda,30 to 34,5,555,520,25,10,525,505,20
Ontario,30 to 34,5,247630,159730,24330,63570,187885,159725,28160
Cornwall,30 to 34,5,640,325,245,60,365,260,110
Hawkesbury,30 to 34,5,135,90,0,25,120,70,45
Hawkesbury (Ontario part),30 to 34,5,120,80,0,20,125,75,50
Ottawa - Gatineau,30 to 34,5,18855,7830,4985,6040,10900,6975,3925
Ottawa - Gatineau (Quebec part),30 to 34,5,5445,2305,1925,1215,2700,1420,1285
Ottawa - Gatineau (Ontario part),30 to 34,5,15335,5525,4990,4820,10130,5560,4575
Brockville,30 to 34,5,475,375,50,50,480,435,50
Pembroke,30 to 34,5,435,310,100,25,380,335,40
Petawawa,30 to 34,5,740,285,435,0,860,510,355
Kingston,30 to 34,5,2825,1610,640,575,2975,2020,950
Belleville,30 to 34,5,1550,1030,390,135,1285,1045,245
Cobourg,30 to 34,5,270,235,25,0,260,230,30
Port Hope,30 to 34,5,300,270,15,0,275,260,0
Peterborough,30 to 34,5,1515,1190,185,150,1385,1115,265
Kawartha Lakes,30 to 34,5,730,660,50,0,605,540,65
Centre Wellington,30 to 34,5,390,350,0,25,295,290,0
Oshawa,30 to 34,5,5765,4835,420,510,3570,3125,450
Ingersoll,30 to 34,5,285,285,0,0,125,120,0
Toronto,30 to 34,5,71895,16825,8985,46085,32270,20990,11280
Hamilton,30 to 34,5,10710,7145,990,2575,7855,6655,1205
St. Catharines - Niagara,30 to 34,5,3250,2295,330,625,3305,2560,745
Kitchener - Cambridge - Waterloo,30 to 34,5,7765,4735,800,2230,6220,5165,1055
Brantford,30 to 34,5,1885,1655,70,155,1155,1040,115
Woodstock,30 to 34,5,815,750,25,45,325,280,40
Tillsonburg,30 to 34,5,215,215,0,0,410,375,40
Norfolk,30 to 34,5,700,625,45,30,630,545,85
Guelph,30 to 34,5,2660,1805,360,495,3395,3045,350
Stratford,30 to 34,5,425,320,60,45,500,465,35
London,30 to 34,5,6230,3635,730,1865,6355,5010,1345
Chatham-Kent,30 to 34,5,830,695,80,55,850,765,85
Leamington,30 to 34,5,565,350,50,160,580,490,85
Windsor,30 to 34,5,2230,1270,260,700,3250,2565,680
Sarnia,30 to 34,5,860,645,65,150,655,500,150
Owen Sound,30 to 34,5,370,335,30,0,425,385,35
Collingwood,30 to 34,5,360,285,30,45,320,300,15
Barrie,30 to 34,5,3485,2750,470,265,2760,2360,400
Orillia,30 to 34,5,560,450,70,45,400,350,45
Midland,30 to 34,5,430,375,20,35,290,210,75
North Bay,30 to 34,5,810,600,150,55,775,615,160
Greater Sudbury,30 to 34,5,1845,1245,375,225,1500,1160,345
Elliot Lake,30 to 34,5,105,90,0,0,40,30,15
Temiskaming Shores,30 to 34,5,205,195,0,0,160,125,35
Timmins,30 to 34,5,740,595,85,65,405,305,95
Sault Ste. Marie,30 to 34,5,905,715,95,100,495,365,130
Thunder Bay,30 to 34,5,1285,710,395,180,1155,715,440
Kenora,30 to 34,5,215,80,105,25,235,165,70
Manitoba,30 to 34,5,19210,7410,4495,7300,13100,7410,5685
Winnipeg,30 to 34,5,9870,1310,2740,5820,5885,1945,3945
Steinbach,30 to 34,5,335,160,55,125,245,215,30
Portage la Prairie,30 to 34,5,205,120,75,0,200,155,50
Brandon,30 to 34,5,1240,355,310,570,1075,610,465
Thompson,30 to 34,5,395,165,130,95,350,155,200
Saskatchewan,30 to 34,5,21185,9045,7425,4715,14245,9050,5195
Regina,30 to 34,5,3900,1115,1335,1450,2150,1060,1085
Yorkton,30 to 34,5,410,185,155,70,160,105,55
Moose Jaw,30 to 34,5,670,280,270,125,440,180,265
Swift Current,30 to 34,5,340,80,210,55,300,175,125
Saskatoon,30 to 34,5,5815,1085,2685,2040,3990,1885,2105
North Battleford,30 to 34,5,385,145,145,95,285,185,95
Prince Albert,30 to 34,5,820,450,310,55,640,430,205
Estevan,30 to 34,5,375,200,130,45,160,115,50
Alberta,30 to 34,5,92095,39395,26730,25970,64120,39395,24725
Medicine Hat,30 to 34,5,1240,475,495,265,1050,440,605
Brooks,30 to 34,5,740,135,200,405,470,285,190
Lethbridge,30 to 34,5,1655,815,425,420,1705,1095,605
Okotoks,30 to 34,5,1055,810,90,155,410,270,135
High River,30 to 34,5,465,260,130,75,255,240,10
Calgary,30 to 34,5,27115,4915,10815,11385,15215,5590,9620
Strathmore,30 to 34,5,460,335,70,50,180,120,60
Canmore,30 to 34,5,465,200,90,170,645,285,360
Red Deer,30 to 34,5,2465,1380,525,565,2830,2075,755
Sylvan Lake,30 to 34,5,595,445,95,55,420,380,35
Lacombe,30 to 34,5,340,240,30,70,365,275,90
Camrose,30 to 34,5,310,220,35,55,295,200,90
Edmonton,30 to 34,5,22060,4760,8055,9245,13080,5555,7520
Lloydminster,30 to 34,5,595,165,285,150,630,350,280
Lloydminster (Saskatchewan part),30 to 34,5,300,65,120,115,185,75,110
Lloydminster (Alberta part),30 to 34,5,310,100,175,35,455,275,180
Cold Lake,30 to 34,5,720,205,450,70,490,175,310
Grande Prairie,30 to 34,5,1815,860,765,195,1795,1025,775
Wood Buffalo,30 to 34,5,3390,825,1770,795,2110,1260,850
Wetaskiwin,30 to 34,5,310,200,75,35,220,185,35
British Columbia ,30 to 34,5,102420,55745,20235,26440,72590,55745,16850
Cranbrook,30 to 34,5,435,175,240,0,240,155,80
Penticton,30 to 34,5,755,455,175,125,590,475,115
Kelowna,30 to 34,5,2980,1460,1075,445,1825,1035,790
Vernon,30 to 34,5,950,560,285,105,690,565,125
Salmon Arm,30 to 34,5,310,215,80,20,190,130,60
Kamloops,30 to 34,5,1600,895,500,210,1335,970,370
Chilliwack,30 to 34,5,1725,1335,265,125,920,730,185
Abbotsford - Mission,30 to 34,5,3015,1985,335,695,2460,1945,515
Vancouver,30 to 34,5,35665,4840,9670,21150,15885,7360,8525
Squamish,30 to 34,5,895,565,160,165,340,240,100
Victoria,30 to 34,5,6180,2590,2045,1540,4910,2950,1955
Duncan,30 to 34,5,755,470,210,75,625,535,90
Nanaimo,30 to 34,5,1580,990,355,240,1195,970,225
Parksville,30 to 34,5,350,295,40,15,210,175,35
Port Alberni,30 to 34,5,295,210,70,15,220,165,60
Courtenay,30 to 34,5,1015,665,285,65,595,345,250
Campbell River,30 to 34,5,520,390,105,30,360,200,160
Powell River,30 to 34,5,210,120,60,30,60,45,0
Williams Lake,30 to 34,5,310,235,65,0,285,235,50
Quesnel,30 to 34,5,355,290,55,10,315,175,135
Prince Rupert,30 to 34,5,270,175,85,0,180,155,25
Terrace,30 to 34,5,305,175,100,25,170,135,30
Prince George,30 to 34,5,1515,925,440,150,1480,885,590
Dawson Creek,30 to 34,5,245,85,105,50,185,65,125
Fort St. John,30 to 34,5,705,350,185,175,750,450,300
Yukon,30 to 34,5,1025,135,640,255,490,140,360
Whitehorse,30 to 34,5,745,40,485,220,280,40,245
Northwest Territories,30 to 34,5,1195,225,855,115,1075,225,850
Yellowknife,30 to 34,5,745,85,570,85,605,40,565
Nunavut,30 to 34,5,580,165,375,40,450,160,285
Canada,15 to 19,1,104000,70055,13295,20645,83350,70055,13295
Newfoundland and Labrador,15 to 19,1,1245,835,355,55,1260,835,425
St. Johns,15 to 19,1,465,290,135,35,195,95,100
Bay Roberts,15 to 19,1,0,0,0,0,0,0,0
Grand Falls-Windsor,15 to 19,1,45,30,0,0,25,0,20
Corner Brook,15 to 19,1,65,55,0,0,75,30,40
Prince Edward Island,15 to 19,1,605,230,185,190,440,230,210
Charlottetown,15 to 19,1,415,90,140,185,165,25,135
Summerside,15 to 19,1,40,0,0,0,115,70,0
Nova Scotia,15 to 19,1,2690,1565,845,280,2190,1560,625
Halifax,15 to 19,1,1085,500,405,180,580,240,350
Kentville,15 to 19,1,145,120,0,0,95,85,0
Truro,15 to 19,1,55,55,0,0,150,130,20
New Glasgow,15 to 19,1,35,25,0,0,60,45,0
Cape Breton,15 to 19,1,80,30,35,15,150,80,65
New Brunswick,15 to 19,1,2285,1625,495,165,2240,1630,610
Moncton,15 to 19,1,455,335,95,25,335,210,125
Saint John,15 to 19,1,185,90,35,55,160,75,85
Fredericton,15 to 19,1,330,205,70,50,255,135,125
Bathurst,15 to 19,1,45,20,20,0,70,55,10
Miramichi,15 to 19,1,25,30,0,0,65,10,55
Campbellton,15 to 19,1,65,0,0,0,0,0,0
Campbellton (New Brunswick part),15 to 19,1,90,0,0,0,35,0,0
Campbellton (Quebec part),15 to 19,1,10,0,0,0,0,0,0
Edmundston,15 to 19,1,20,0,0,0,20,0,0
Quebec,15 to 19,1,23030,18590,1250,3190,19650,18585,1065
Matane,15 to 19,1,30,30,0,0,20,20,0
Rimouski,15 to 19,1,145,125,0,0,110,110,0
Riviere-du-Loup,15 to 19,1,85,75,0,0,55,60,0
Baie-Comeau,15 to 19,1,40,45,0,0,60,60,0
Saguenay,15 to 19,1,210,185,0,0,200,195,0
Alma,15 to 19,1,65,60,0,0,110,110,0
Dolbeau-Mistassini,15 to 19,1,55,55,0,0,0,0,0
Sept-Iles,15 to 19,1,35,40,0,0,70,70,0
Quebec,15 to 19,1,1260,1070,70,120,725,595,125
Saint-Georges,15 to 19,1,65,60,0,0,70,70,0
Thetford Mines,15 to 19,1,40,40,0,0,45,45,0
Sherbrooke,15 to 19,1,510,400,20,90,295,280,0
Cowansville,15 to 19,1,45,45,0,0,25,30,0
Victoriaville,15 to 19,1,90,90,0,0,125,130,0
Trois-Rivieres,15 to 19,1,385,350,0,30,185,165,0
Shawinigan,15 to 19,1,150,150,0,0,145,145,0
Drummondville,15 to 19,1,215,185,0,15,165,165,0
Granby,15 to 19,1,160,160,0,0,185,185,0
Saint-Hyacinthe,15 to 19,1,170,150,0,0,195,190,0
Sorel-Tracy,15 to 19,1,30,30,0,0,170,140,0
Joliette,15 to 19,1,250,235,0,0,160,160,0
Saint-Jean-sur-Richelieu,15 to 19,1,250,225,0,0,190,170,15
Montreal,15 to 19,1,5780,2295,875,2610,2325,1810,510
Salaberry-de-Valleyfield,15 to 19,1,90,85,0,0,100,100,0
Lachute,15 to 19,1,85,70,0,0,70,70,0
Val-dOr,15 to 19,1,95,85,0,0,80,75,0
Amos,15 to 19,1,40,35,0,0,90,95,0
Rouyn-Noranda,15 to 19,1,70,65,0,0,160,155,0
Ontario,15 to 19,1,35690,24715,2815,8165,27790,24715,3075
Cornwall,15 to 19,1,150,110,30,0,360,300,60
Hawkesbury,15 to 19,1,65,35,0,0,75,40,30
Hawkesbury (Ontario part),15 to 19,1,55,25,0,0,70,45,30
Ottawa - Gatineau,15 to 19,1,3335,1525,610,1205,1505,1115,395
Ottawa - Gatineau (Quebec part),15 to 19,1,535,250,100,185,445,265,180
Ottawa - Gatineau (Ontario part),15 to 19,1,2940,1275,650,1015,1205,855,355
Brockville,15 to 19,1,140,125,20,0,75,75,0
Pembroke,15 to 19,1,95,50,45,0,55,50,0
Petawawa,15 to 19,1,55,35,20,0,105,50,50
Kingston,15 to 19,1,680,550,35,95,370,275,95
Belleville,15 to 19,1,310,255,35,0,300,230,70
Cobourg,15 to 19,1,80,60,25,0,105,105,0
Port Hope,15 to 19,1,70,70,0,0,35,30,0
Peterborough,15 to 19,1,485,430,0,30,325,300,25
Kawartha Lakes,15 to 19,1,185,170,0,0,185,170,15
Centre Wellington,15 to 19,1,90,80,0,0,60,55,0
Oshawa,15 to 19,1,765,695,20,45,525,455,70
Ingersoll,15 to 19,1,25,25,0,0,75,55,25
Toronto,15 to 19,1,8435,2150,895,5390,4170,3010,1160
Hamilton,15 to 19,1,1495,1130,80,280,985,845,145
St. Catharines - Niagara,15 to 19,1,610,465,60,90,530,420,110
Kitchener - Cambridge - Waterloo,15 to 19,1,1165,865,80,220,735,645,90
Brantford,15 to 19,1,240,215,0,0,265,245,0
Woodstock,15 to 19,1,105,105,0,0,90,90,0
Tillsonburg,15 to 19,1,65,55,0,0,45,40,0
Norfolk,15 to 19,1,70,70,0,0,190,185,0
Guelph,15 to 19,1,425,330,25,65,250,235,0
Stratford,15 to 19,1,50,35,0,0,80,75,0
London,15 to 19,1,1305,1000,70,240,780,645,130
Chatham-Kent,15 to 19,1,190,125,35,30,155,135,20
Leamington,15 to 19,1,125,70,0,50,50,50,0
Windsor,15 to 19,1,495,275,45,175,275,235,45
Sarnia,15 to 19,1,175,160,0,0,150,100,50
Owen Sound,15 to 19,1,95,90,0,0,135,135,0
Collingwood,15 to 19,1,70,50,0,0,50,45,0
Barrie,15 to 19,1,470,375,35,60,555,520,35
Orillia,15 to 19,1,240,235,0,0,55,55,0
Midland,15 to 19,1,120,95,0,25,80,70,0
North Bay,15 to 19,1,155,135,0,0,95,90,0
Greater Sudbury,15 to 19,1,365,265,55,45,240,210,30
Elliot Lake,15 to 19,1,30,35,0,0,80,75,0
Temiskaming Shores,15 to 19,1,45,45,0,0,30,35,0
Timmins,15 to 19,1,65,55,0,0,120,115,0
Sault Ste. Marie,15 to 19,1,95,70,0,0,140,130,0
Thunder Bay,15 to 19,1,245,180,45,0,125,100,25
Kenora,15 to 19,1,0,0,0,0,40,30,0
Manitoba,15 to 19,1,4080,2360,510,1210,3070,2360,710
Winnipeg,15 to 19,1,2000,740,295,965,690,320,375
Steinbach,15 to 19,1,90,50,0,40,65,40,15
Portage la Prairie,15 to 19,1,145,120,0,0,40,30,10
Brandon,15 to 19,1,370,260,65,50,195,170,35
Thompson,15 to 19,1,35,20,0,0,55,50,0
Saskatchewan,15 to 19,1,4535,3100,940,500,4040,3100,945
Regina,15 to 19,1,630,330,175,125,420,290,125
Yorkton,15 to 19,1,65,50,0,0,55,25,30
Moose Jaw,15 to 19,1,115,50,50,0,125,95,30
Swift Current,15 to 19,1,35,15,0,0,50,10,40
Saskatoon,15 to 19,1,1415,805,385,225,420,245,175
North Battleford,15 to 19,1,70,55,0,0,35,30,0
Prince Albert,15 to 19,1,190,135,25,0,160,145,15
Estevan,15 to 19,1,60,45,0,0,45,35,15
Alberta,15 to 19,1,13285,7310,3510,2465,10305,7310,3000
Medicine Hat,15 to 19,1,200,85,65,50,275,180,100
Brooks,15 to 19,1,70,0,55,0,85,50,35
Lethbridge,15 to 19,1,545,410,85,45,255,205,55
Okotoks,15 to 19,1,100,65,0,20,50,40,10
High River,15 to 19,1,45,10,30,0,45,45,0
Calgary,15 to 19,1,3150,915,970,1265,1775,610,1165
Strathmore,15 to 19,1,125,115,0,0,50,45,0
Canmore,15 to 19,1,30,0,25,0,50,0,40
Red Deer,15 to 19,1,405,295,55,60,360,270,90
Sylvan Lake,15 to 19,1,135,90,45,0,80,75,0
Lacombe,15 to 19,1,55,50,0,0,90,75,15
Camrose,15 to 19,1,130,105,0,0,55,30,25
Edmonton,15 to 19,1,3020,1320,940,755,1345,605,735
Lloydminster,15 to 19,1,275,200,60,0,95,80,20
Lloydminster (Saskatchewan part),15 to 19,1,145,130,0,0,45,30,0
Lloydminster (Alberta part),15 to 19,1,130,75,60,0,55,40,10
Cold Lake,15 to 19,1,100,60,40,0,95,70,25
Grande Prairie,15 to 19,1,480,280,160,40,250,170,80
Wood Buffalo,15 to 19,1,430,100,310,20,260,155,100
Wetaskiwin,15 to 19,1,40,35,0,0,155,140,15
British Columbia ,15 to 19,1,16125,9515,2240,4370,11950,9515,2430
Cranbrook,15 to 19,1,60,35,25,0,105,50,55
Penticton,15 to 19,1,110,70,25,15,135,70,60
Kelowna,15 to 19,1,490,225,185,85,415,195,220
Vernon,15 to 19,1,95,55,30,0,240,195,45
Salmon Arm,15 to 19,1,55,35,0,0,65,55,10
Kamloops,15 to 19,1,275,210,30,30,260,210,55
Chilliwack,15 to 19,1,215,180,30,0,305,210,90
Abbotsford - Mission,15 to 19,1,620,460,55,105,360,335,25
Vancouver,15 to 19,1,5800,1235,920,3640,1595,820,770
Squamish,15 to 19,1,50,45,0,0,70,55,20
Victoria,15 to 19,1,985,550,220,215,455,300,155
Duncan,15 to 19,1,90,65,15,0,95,80,15
Nanaimo,15 to 19,1,335,235,55,45,180,125,50
Parksville,15 to 19,1,25,0,0,0,105,85,0
Port Alberni,15 to 19,1,55,35,0,0,35,25,0
Courtenay,15 to 19,1,100,60,25,25,140,125,10
Campbell River,15 to 19,1,115,90,0,0,155,135,20
Powell River,15 to 19,1,25,15,0,0,50,45,0
Williams Lake,15 to 19,1,35,35,0,0,85,75,0
Quesnel,15 to 19,1,65,60,0,0,135,100,30
Prince Rupert,15 to 19,1,25,15,0,0,0,0,0
Terrace,15 to 19,1,35,20,0,0,60,60,0
Prince George,15 to 19,1,270,180,40,45,220,130,90
Dawson Creek,15 to 19,1,70,25,50,0,40,0,35
Fort St. John,15 to 19,1,120,95,0,0,145,85,55
Yukon,15 to 19,1,180,65,65,45,135,70,70
Whitehorse,15 to 19,1,135,25,60,50,85,35,55
Northwest Territories,15 to 19,1,150,75,70,0,150,75,80
Yellowknife,15 to 19,1,50,10,35,0,70,15,55
Nunavut,15 to 19,1,95,65,25,0,125,65,60
Canada,20 to 24,1,236730,160575,39195,36955,199770,160575,39195
Newfoundland and Labrador,20 to 24,1,3470,2405,870,190,3970,2410,1565
St. Johns,20 to 24,1,1355,755,415,180,1280,480,800
Bay Roberts,20 to 24,1,0,0,0,0,55,35,0
Grand Falls-Windsor,20 to 24,1,85,65,0,0,90,55,40
Corner Brook,20 to 24,1,225,155,65,0,185,95,90
Prince Edward Island,20 to 24,1,1345,815,390,140,1275,815,460
Charlottetown,20 to 24,1,580,225,250,100,435,110,325
Summerside,20 to 24,1,75,55,25,0,170,95,70
Nova Scotia,20 to 24,1,7450,3635,3005,800,6470,3640,2830
Halifax,20 to 24,1,3730,1245,1830,655,2630,895,1735
Kentville,20 to 24,1,240,150,85,0,125,95,30
Truro,20 to 24,1,320,210,105,0,335,260,75
New Glasgow,20 to 24,1,190,140,40,0,125,75,50
Cape Breton,20 to 24,1,495,140,300,60,495,280,215
New Brunswick,20 to 24,1,5695,3630,1790,270,5730,3635,2100
Moncton,20 to 24,1,970,585,320,60,1045,585,465
Saint John,20 to 24,1,745,210,425,105,535,295,240
Fredericton,20 to 24,1,870,500,330,40,900,355,545
Bathurst,20 to 24,1,160,110,50,0,100,85,0
Miramichi,20 to 24,1,145,90,50,0,175,130,50
Campbellton,20 to 24,1,110,100,0,0,45,35,0
Campbellton (New Brunswick part),20 to 24,1,105,100,0,0,30,30,0
Campbellton (Quebec part),20 to 24,1,0,0,0,0,0,0,0
Edmundston,20 to 24,1,65,55,0,0,215,90,120
Quebec,20 to 24,1,53020,41815,3680,7520,45430,41820,3615
Matane,20 to 24,1,110,95,0,0,100,95,0
Rimouski,20 to 24,1,515,500,0,10,375,370,0
Riviere-du-Loup,20 to 24,1,175,170,0,0,240,240,0
Baie-Comeau,20 to 24,1,120,105,0,0,95,90,0
Saguenay,20 to 24,1,680,625,40,20,775,740,35
Alma,20 to 24,1,175,160,0,0,250,250,0
Dolbeau-Mistassini,20 to 24,1,70,70,0,0,145,135,0
Sept-Iles,20 to 24,1,130,130,0,0,140,140,0
Quebec,20 to 24,1,3755,2840,380,535,2920,2630,295
Saint-Georges,20 to 24,1,195,195,0,0,210,175,0
Thetford Mines,20 to 24,1,85,80,0,0,90,90,0
Sherbrooke,20 to 24,1,1605,1345,65,190,1450,1375,70
Cowansville,20 to 24,1,55,40,0,0,75,75,0
Victoriaville,20 to 24,1,215,200,0,0,340,335,0
Trois-Rivieres,20 to 24,1,985,905,30,55,1010,940,70
Shawinigan,20 to 24,1,160,155,0,0,285,285,0
Drummondville,20 to 24,1,480,475,0,0,605,600,0
Granby,20 to 24,1,455,430,0,0,400,385,20
Saint-Hyacinthe,20 to 24,1,515,510,0,0,460,460,0
Sorel-Tracy,20 to 24,1,180,165,0,0,180,155,0
Joliette,20 to 24,1,310,295,0,15,440,440,0
Saint-Jean-sur-Richelieu,20 to 24,1,550,505,0,35,440,415,30
Montreal,20 to 24,1,13925,5780,1890,6255,6835,4450,2380
Salaberry-de-Valleyfield,20 to 24,1,230,220,0,0,300,300,0
Lachute,20 to 24,1,130,115,0,0,90,90,0
Val-dOr,20 to 24,1,225,205,0,0,140,140,0
Amos,20 to 24,1,120,120,0,0,55,55,0
Rouyn-Noranda,20 to 24,1,320,205,90,0,345,330,0
