Area,Age-Group,Mobility-Years,Total-in-migrants,Intraprovincial-in-migrants,Interprovincial-in-migrants,External-in-migrants,Total-out-migrants,Intraprovincial-out-migrants,Interprovincial-out-migrants
Portage la Prairie,15 to 19,5,210,105,50,50,90,50,35
Brandon,15 to 19,5,970,505,175,290,415,290,125
Thompson,15 to 19,5,85,55,15,20,285,205,75
Saskatchewan,15 to 19,5,11925,6555,3260,2110,8750,6555,2195
Regina,15 to 19,5,2085,810,630,650,850,485,365
Yorkton,15 to 19,5,185,90,90,0,150,80,70
Moose Jaw,15 to 19,5,360,160,180,20,335,190,150
Swift Current,15 to 19,5,250,155,70,30,130,65,60
Saskatoon,15 to 19,5,2960,1380,800,775,1220,745,475
North Battleford,15 to 19,5,285,110,110,60,90,50,40
Prince Albert,15 to 19,5,575,410,115,50,350,270,80
Estevan,15 to 19,5,170,90,45,30,105,50,55
Alberta,15 to 19,5,41900,18855,12285,10760,27435,18855,8580
Medicine Hat,15 to 19,5,585,260,205,120,690,515,185
Brooks,15 to 19,5,140,80,60,0,265,200,65
Lethbridge,15 to 19,5,1370,770,350,245,625,440,180
Okotoks,15 to 19,5,650,390,135,125,200,90,115
High River,15 to 19,5,90,30,40,20,140,115,30
Calgary,15 to 19,5,10940,2075,3650,5215,5070,2015,3050
Strathmore,15 to 19,5,275,180,90,0,135,105,30
Canmore,15 to 19,5,70,30,40,0,65,30,35
Red Deer,15 to 19,5,1250,630,310,310,720,475,240
Sylvan Lake,15 to 19,5,345,245,90,0,275,230,0
Lacombe,15 to 19,5,145,115,25,0,135,110,0
Camrose,15 to 19,5,245,160,65,0,145,110,35
Edmonton,15 to 19,5,10505,3200,3750,3550,3790,1670,2120
Lloydminster,15 to 19,5,515,230,190,95,315,185,125
Lloydminster (Saskatchewan part),15 to 19,5,245,110,50,85,165,80,85
Lloydminster (Alberta part),15 to 19,5,285,125,150,0,160,105,50
Cold Lake,15 to 19,5,300,110,185,0,300,120,180
Grande Prairie,15 to 19,5,995,540,330,125,595,405,185
Wood Buffalo,15 to 19,5,1345,285,845,220,805,525,285
Wetaskiwin,15 to 19,5,200,140,35,0,235,195,40
British Columbia ,15 to 19,5,47080,23500,6405,17175,30030,23500,6535
Cranbrook,15 to 19,5,250,60,160,35,240,150,90
Penticton,15 to 19,5,350,220,105,30,370,275,90
Kelowna,15 to 19,5,1860,895,595,370,960,500,465
Vernon,15 to 19,5,465,290,130,45,420,315,105
Salmon Arm,15 to 19,5,175,120,45,0,95,75,20
Kamloops,15 to 19,5,850,505,220,130,760,540,220
Chilliwack,15 to 19,5,895,680,140,75,750,525,225
Abbotsford - Mission,15 to 19,5,1485,925,150,415,1025,835,195
Vancouver,15 to 19,5,19060,2230,2275,14555,4420,2295,2125
Squamish,15 to 19,5,185,125,0,45,240,210,35
Victoria,15 to 19,5,2530,1130,725,680,1025,425,595
Duncan,15 to 19,5,275,170,70,40,310,245,65
Nanaimo,15 to 19,5,775,440,135,200,565,400,160
Parksville,15 to 19,5,155,60,55,40,285,225,60
Port Alberni,15 to 19,5,160,120,35,0,165,140,25
Courtenay,15 to 19,5,540,335,130,75,370,260,110
Campbell River,15 to 19,5,265,195,60,0,270,230,40
Powell River,15 to 19,5,125,80,35,0,125,100,25
Williams Lake,15 to 19,5,160,125,15,20,185,160,30
Quesnel,15 to 19,5,210,160,40,0,185,145,40
Prince Rupert,15 to 19,5,130,105,0,0,95,70,20
Terrace,15 to 19,5,145,105,0,25,260,220,40
Prince George,15 to 19,5,695,505,120,75,620,405,220
Dawson Creek,15 to 19,5,105,60,35,0,140,105,35
Fort St. John,15 to 19,5,280,145,105,25,290,165,125
